,RegionName,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,Average2022
171,30176.0,169758.0,175179.0,177932.0,180678.0,182263.0,185382.0,188692.0,191700.0,193168.0,194646.0,195530.0,196102.0,185919.16666666666
172,30177.0,200572.0,206509.0,209078.0,211678.0,213009.0,215981.0,218912.0,222134.0,222403.0,225733.0,229655.0,229929.0,217132.75
173,30179.0,243980.0,249525.0,254813.0,260963.0,267683.0,273725.0,277911.0,279712.0,280375.0,279090.0,278501.0,277911.0,268682.4166666667
174,30084.0,364593.0,370099.0,374121.0,377880.0,382566.0,387096.0,389132.0,390042.0,388282.0,386347.0,384204.0,384815.0,381598.0833333333
175,30290.0,438910.0,443456.0,447790.0,456105.0,467699.0,476848.0,482599.0,487974.0,489872.0,491175.0,490468.0,488561.0,471788.0833333333
176,30291.0,238301.0,244893.0,250598.0,256768.0,263897.0,270572.0,275450.0,278082.0,280197.0,280408.0,281587.0,282066.0,266901.5833333333
177,30180.0,286025.0,292301.0,297742.0,303908.0,310949.0,317853.0,322409.0,324667.0,325361.0,324730.0,324741.0,324562.0,312937.3333333333
178,30339.0,547878.0,557242.0,571180.0,582004.0,591311.0,593524.0,594578.0,593608.0,593434.0,593175.0,594329.0,593332.0,583799.5833333334
179,30183.0,393727.0,400652.0,409588.0,417268.0,422495.0,425370.0,427509.0,432747.0,436343.0,438330.0,435913.0,431635.0,422631.4166666667
180,31830.0,158552.0,163723.0,166197.0,168771.0,169810.0,172564.0,175313.0,177199.0,177548.0,178053.0,178563.0,178518.0,172067.58333333334
181,30185.0,271921.0,277580.0,282472.0,287835.0,295103.0,301857.0,305812.0,307220.0,307834.0,307249.0,307673.0,306951.0,296625.5833333333
182,30292.0,284390.0,291679.0,296034.0,301189.0,304981.0,310873.0,316185.0,321185.0,322746.0,324416.0,324857.0,325472.0,310333.9166666667
183,30680.0,292611.0,296350.0,303574.0,310615.0,319727.0,325333.0,328051.0,329740.0,327985.0,325680.0,321362.0,320586.0,316801.1666666667
184,30187.0,328649.0,335802.0,341566.0,346503.0,350764.0,356151.0,359829.0,363039.0,362394.0,361686.0,360380.0,360294.0,352254.75
185,30293.0,128761.0,132875.0,134709.0,136147.0,136609.0,138540.0,140902.0,142114.0,142268.0,142628.0,143471.0,143659.0,138556.91666666666
